Removed Pin From Net: NetName=GND Pin=J2-5
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Pin From Net: NetName=GND Pin=J2-S
Removed Member From Class: ClassName=Sheet Member=R4
Removed Member From Class: ClassName=Sheet Member=SW2
Change Component Designator: OldDesignator=R4 NewDesignator=R?
Change Component Designator: OldDesignator=SW2 NewDesignator=SW?
Change component parameters: Designator = "Q1"; Footprint = "FP-S-03946-MFG"; UniqueID = "\ZEFSFRQZ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Trans"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.vishay.com/docs/63399/si1308edl.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current"; Value = "1.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depletion Mode"; Value = "False"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Transistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "MOSFETs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "MOSFET N-CH 30V 1.4A SC-70-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain To Source Breakdown Voltage"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain To Source Resistance"; Value = "0.11O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain To Source Voltage"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge At Vgs"; Value = "2.7nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate To Source Voltage"; Value = "12V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitace At Vds"; Value = "105pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT65P210X100-3"; VariantName = "[No Variations]"
